node_id_sender,node_id_receiver,timestamp,bandwidth_in,bandwidth_out,latency,packet_loss,cpu_usage,memory_usage,disk_io,round_trip_time
U161,U90,2023-07-31 23:16:25,50,53,2.1192438453365234,0.04831251793839188,13.941971658251962,23.498659537747667,8.911155063775535,10.964963832938718
U650,U75,2023-05-30 19:18:34,52,51,2.655025287952779,0.018864727714538433,13.629766649656014,20.84518451097161,5.965787905884371,11.985543729586592
U423,U58,2023-10-14 10:27:51,53,54,1.5951073284714603,0.03450133510245668,13.977175872088656,23.53861572353667,8.173509595009865,12.00630879786817
U659,U39,2023-12-12 17:02:45,55,52,1.574906132917129,0.01834227746808879,10.6820850920003,23.481265168362327,5.250137500132176,10.900778040772217
U818,U42,2023-09-26 11:50:04,52,51,2.5617598322306017,0.020580906094996645,14.547238186873374,22.50648159254018,7.076498628289388,11.42441249009379
U662,U66,2023-11-08 15:16:46,51,50,2.5582350989125064,0.020675036232537854,13.36719888268028,20.171917427042338,5.59964268314335,13.104613575079739
U760,U57,2023-12-17 08:19:56,52,52,1.4208402775802602,0.017179991017532634,13.383568599051165,23.627642322775607,7.316934017867545,12.756021606143142
U828,U74,2023-06-13 05:00:24,51,51,1.257095306913406,0.04683677243857844,12.67594554639317,23.553157688269973,9.366300991438056,10.393062277260587
U783,U32,2023-03-25 16:33:47,50,55,1.4501277997591162,0.03336010628884949,13.324162733595383,20.522783917159668,7.45567269776948,14.338232562648244
U521,U32,2023-02-14 07:39:41,50,55,1.3143104397408245,0.04136523830144871,12.736662267894506,24.89745753099684,7.506047279053281,12.785421977296998
U834,U42,2023-11-03 23:04:22,54,50,2.4367859527642444,0.048690776359786275,14.848458501888338,20.083502616235624,8.827895318626034,13.946296029771627
U851,U15,2023-12-02 02:06:26,50,50,2.521889465254178,0.0362699591871931,13.734849649335919,24.9661978702171,9.948475277027253,12.624860594762474
U110,U14,2023-11-08 11:56:06,51,55,1.4150734861578123,0.03950783942763115,10.339484064644449,24.501409365651938,9.621595048055257,10.476624524420805
U725,U25,2023-10-10 08:10:58,55,54,1.9470021476426587,0.014439746546428572,12.204362176439865,24.425022828873022,5.419736185449829,13.975652592196923
U578,U76,2023-11-01 11:12:56,51,51,1.2103167147608915,0.04860086568577724,10.532804262298763,24.46494662180026,9.38679390841021,12.286352345812126
U344,U10,2023-01-05 01:53:10,51,54,1.1091245390842774,0.016321440476758813,13.028094866043162,22.259941798131187,8.590724354808597,12.23910758919964
U466,U5,2023-11-14 05:44:53,52,50,2.5881668285309822,0.03650214161833458,12.093775818944753,24.495201098588275,7.69116341063625,13.544055597980416
U254,U36,2023-03-07 09:23:34,52,51,2.6665744666847555,0.03274661766745587,14.82394755232026,22.365414058280972,7.662752641551105,12.135007526782879
U944,U15,2023-01-26 09:27:51,50,55,1.4192736674531303,0.03270036060940536,14.004219735498488,20.56889092124515,9.496585335811734,14.262135819870524
